Row Labels,Count of user_id,,,,
visited_site,200,,,Analysis,
signup_started,150,,,total_user_cnt,200
details_filled,96,,,highest_user_lost,54
email_verified,52,,,highest_conversion_rate,75%
purchase_completed,44,,,lowest_drop,8
Grand Total,542,,,,
,,,,,
,,,,,
,,,,,
steps,user_Cnt,conversion_rate,user_lost,conversion_rate_steps_before,
visited_site,200,100%,,,
signup_started,150,75%,50,75%,
details_filled,96,48%,54,64%,
email_verified,52,26%,44,54%,
purchase_completed,44,22%,8,85%,
